Line,Score
"What the rest of me has suffered during that long agony, is indescribable.” Mallarmé described this agony as a battle that took place on God’s “boney wing.” “I struggled with that creature of ancient and evil plumage—God—whom I fortunately defeated and threw to earth,” he told Cazalis with exhausted satisfaction.",-0.9633
"Ancient Egyptians wrapped their mummies in blue cloth; ancient Celtic warriors dyed their bodies with woad before heading off to battle; the Aztecs smeared the chests of their sacrificial victims with blue paint before scooping their hearts out on the altar; the story of indigo is, at least in part, the story of slavery, riots, and misery.",-0.9493
"On this account I am prepared to call myself a “spiritual cripple,” as a Japanese critic once said of Sei Shōnagon, author of the famous Makura no Sōshi, or “Notes of the Pillow.” This critic was appalled by Shōnagon’s obsession with trivia, aesthetics, and gossip, her hostility toward men, and by her unbridled, unrepentantly malicious comments about others, especially those of lower classes.",-0.9389
"Another form of aggrandizement, to be sure—one which brings to mind a night I spent in an emergency room in Brooklyn years ago—some mystery ailment, a burning in my lower left side—a woman wailing in the waiting room about having gas from fried chicken, though she looked riddled with crack and sadness, not gas from fried chicken—a young doctor inside asked me to rate my pain on a scale of 1 to 10—I was flummoxed, I felt as though I shouldn’t be there at all—I said “6”—he said to the nurse, Write down “8,” since women always underestimate their pain.",-0.9382
"Sometimes I worry that if I am not moved by a blue thing, I may be completely despaired, or dead.",-0.9092
"If you’re lonely, there’s a guy on Craigslist two blocks away who says he has an hour to kill and a dick longer than a donkey’s.",-0.9081
"Philosopher Bertrand Russell was a fan of Wittgenstein’s early work in logic, but he complained that the later Wittgenstein “seems to have grown tired of serious thinking and to have invented a doctrine which would make such an activity unnecessary.” I am not sure if I agree, but I note the temptation.",-0.9064
"I do not feel my friend’s pain, but when I unintentionally cause her pain I wince as if I hurt somewhere, and I do.",-0.9042
"Near the end of her relatively brief life (she died at forty-four), many were calling Holiday’s voice “ravaged”—by dope, by booze, by abuse, by sorrow.",-0.9042
"This man once taught me how to kill a mouse by thwapping it against the table while holding on to its tail, you do that if the snake strikes and wounds but doesn’t kill.",-0.9032
"Think of filmmaker Derek Jarman, who wrote his book Chroma as he was going blind and dying of AIDS, a death he also forecast on film as disappearing into a “blue screen.” Or of Wittgenstein, who wrote his Remarks on Colour during the last eighteen months of his life, while dying of stomach cancer.",-0.9001
