Line,Score
"There are no other sets of ripples to add to it, so there are no constructive or destructive interference effects, and no maxima or minima.",-0.8625
One interesting result is that the average light-skinned person in the U.S. would rather lose an arm than suffer the racist treatment routinely endured by African-Americans.,-0.8176
(The reason why the air is pumped out of light bulbs is to keep the oxygen from reacting violently with the hot filament and destroying it.),-0.8126
"In figure (b), simple trigonometry gives

sin 0( = XJh and

sin 0, = XJh .",-0.802
"X

d

sin 0

m

[condition for a maximum; m is an integer] Similarly, the condition for a minimum is

[a minimum if m is an integer plus 1/2]

X

d

sin 0

m

That is, the minima are about halfway between the maxima.",-0.802
"Section 3.1 A Real Image Formed by an In-Bending Mirror

35





3.2 Other Cases With Curved Mirrors

The equation = (1 If - l/ify) can easily produce a negative result,

but we have been thinking of d. as a distance, and distances can’t be negative.",-0.7717
"Written in terms of indices of refraction, Snell’s equation becomes

sin0j n 2 sin02 n\

but rewriting it in the form

n sin 0j = w, sin 0, [relationship between angles of rays at the interface between media with indices of refraction n and « ; angles are defined with respect to the normal]

makes us less likely to get the 1 ’s and 2’s mixed up, so this the way most people remember Snell’s law.",-0.7684
"If someone throws a rock at you, you can see the rock on its way to your body, and you can tell that the person affected you by sending a material substance your way, rather than just harming you directly with an arm motion, which would be known as “action at a distance.” It is not easy to do a similar observation to see whether there is some “stuff” that travels from the candle to your eye, or whether it is a case of action at a distance.",-0.7654
"In a camera, there is either an automatic or manual adjustment, and narrowing the opening is called “stopping down.” The disadvantage of stopping down is that light is wasted, so the image will be dimmer or a longer exposure must be used.",-0.765
"Many prospective parents can imagine without too much fear having a deaf child, but would have a far more difficult time coping with raising a blind one.",-0.7525
"The trick is to contruct a third point, C, lying as far below the surface as B lies above it.",-0.7506
"68

Chapter 5 Wave Optics



Summary

Selected Vocabulary

diffraction the behavior of a wave when it encounters an obstacle or a nonuniformity

in its medium; in general, diffraction causes a wave to bend around obstacles and make patterns of strong and weak waves radiating out beyond the obstacle.",-0.7351
"The trouble with this approach is that one is then forced to memorize tables of sign conventions, e.g.",-0.6908
There are two ways in which restriction (2) might commonly be violated.,-0.6705
"Does this mean that wave optics contradicts ray optics, or that wave optics sometimes gives wrong results?",-0.6705
"Homework Problems

31





Homework Problems

1 /.",-0.6597
"Solving Snell’s law for 0,, we find

02 = sin

-l

n

n2

- sin 01

and if n is greater than n„ then there will be large values of 0j for which the quantity (»/»,) sin 0 is greater than one, meaning that your calculator will flash an error message at you when you try to take the inverse sine.",-0.6597
"In general, what combinations of distances will lead to completely destructive and completely constructive interference?",-0.6478
* A difficult problem.,-0.6369
* A difficult problem.,-0.6369
* A difficult problem.,-0.6369
"Although Newton’s criticisms were fair enough, the debate also took on the overtones of a nationalistic dispute between England and continental Europe, fueled by English resentment over Leibnitz’s supposed plagiarism of Newton’s calculus.",-0.6369
'k A difficult problem.,-0.6369
"At the point along direction Y shown in the same figure, one wave has traveled ten wavelengths, and is therefore at a positive extreme, but the other has traveled only nine and a half wavelengths, so it at a negative extreme.",-0.6304
"The equation we derive to relate do to d{ will also hold for off-axis points, since otherwise the image would have to be distorted, which we know is not true.",-0.6164
"We need to find whether the waves are in phase (in step) or out of phase at this point in order to predict whether there will be constructive interference, destructive interference, or something in between.",-0.6124
"The waves coming from slits A and B would have been out of phase by 0.23 wavelengths, but this would not have caused very severe interference.",-0.5913
"There is no point in continuing the rays any farther than shown, because nothing new and exciting is going to happen to them.",-0.5897
"At the bottom, cf approaches negative infinity when do approaches ffrom the other side; interpretation: the rays don’t quite converge on the right side of the mirror, so they appear to have come from a virtual image point very far to the left of the mirror.",-0.5719
"In general, diffraction causes a wave to bend around obstacles and make patterns of strong and weak waves radiating out beyond the obstacle.",-0.5719
"I hey would both be at a negative extreme, so there would be constructive interference.",-0.5719
(I’m not sure whether the fairly large experimental error was mainly due to imprecise knowledge of the radius of the earth’s orbit or limitations in the reliability of pendulum clocks.),-0.5664
"The equation he came up with was

sin 0 |

——= constant .",-0.5574
"The difference in path length is related to d and 0 by the equation L-L'

7— = sin 0 .",-0.5574
"Putting all the ingredients together, we find mktd= sin 0, or



(e) A closeup of the previous figure, showing how the path length difference L-L’ is related to d and to the angle <p.",-0.5574
(b) Find how much difference it makes whether you use the approximation sin 0 ~ 0 .,-0.5574
